name,image,provinsi,location,description,sektorIndustri,modelBisnis,ukuranTim,pendanaan,keahlian,contact
Kedai Nurhalima,https://drive.pastibisa.app/1706022936_65afd818d1ae2.png,SULAWESI TENGAH,"Jl. Trans Sulawesi, Mamboro, Kec. Palu Utara, Kota Palu, 94147","Dipimpin oleh Nurhalima, Kedai Nurhalima adalah oasis bagi pencinta kuliner, menawarkan Nasi Kuning yang lezat. Setiap piring yang disajikan menggambarkan warisan kuliner lokal dan komitmen terhadap rasa otentik.",FnB,B2C,3,"10,000,000",-,kedai.nurhalima@gmail.com
Boriscase,https://drive.pastibisa.app/1706023078_65afd8a654ad2.png,GORONTALO,"Jl. Tapa - Kabila, Talumopatu, Kec. Tapa, Kabupaten Bone Bolango, Gorontalo 96126","Briskawati Hadji, pendiri Boriscase, mengubah aksesoris fashion menjadi pernyataan gaya. Dengan koleksi yang mencerminkan kecanggihan dan keanggunan, Boriscase menawarkan aksesoris yang sempurna untuk setiap kesempatan.",Fashion,B2C,32,"7,000,000",-,0822-9326-5793
Galeri Aren Ranau,https://drive.pastibisa.app/1706023321_65afd9991bf93.png,LAMPUNG,"Jl. Urip Sumoharjo No.64, Kec. Kedaton, Kota Bandar Lampung, Lampung 35148","Di bawah kepemimpinan Juwita Antasari, Galeri Aren Ranau mendedikasikan diri untuk menghasilkan Gula Aren berkualitas tinggi. Mereka menghargai tradisi dan kualitas, menghadirkan manisnya alam langsung ke meja Anda.",Food Processing,B2C,1,"2,250,000",-,0812-7942-6027
Roida Pandaria,https://drive.pastibisa.app/1706023349_65afd9b501baa.png,LAMPUNG,"JL. Tupai Gg.Waru.24, LK.III No.RT 01, Sukamenanti, Kec. Kedaton, Kota Bandar Lampung, Lampung 35146","Luciana Roida Maranatha, inovator di balik Roida Pandaria, membawa keahlian dalam pembuatan Keripik Pisang yang renyah dan nikmat. Setiap gigitan menawarkan perpaduan sempurna antara tradisi dan kelezatan.",FnB,Hybrid B2B and B2C,5,"10,000,000",-,Ig: @roidapandaria
ima pentol bakso beku,https://drive.pastibisa.app/1706023399_65afd9e75cd71.png,KALIMANTAN BARAT,"Sungai Bundung Laut, Kunyit River, Mempawah, 78371","Rahimah, pengusaha di balik ima pentol bakso beku, mengkhususkan diri dalam pembuatan daging sapi & ayam beku berkualitas. Produknya menjamin kenyamanan dan kualitas untuk setiap makanan, memberikan kehangatan dan kelezatan rumahan dalam setiap paket.",FnB,B2C,2,"8,000,000",-,imapentol.baksobeku@gmail.com
CEMILAN MASHEIL,https://drive.pastibisa.app/1706023450_65afda1a8c3af.png,JAMBI," Lrg. Mustika RT 23 No. 96. Kel. Lingkar selatan, Paal Merah, Kota Jambi, Jambi 36139","CEMILAN MASHEIL, kami percaya bahwa setiap gigitan harus membangkitkan kenangan dan rasa nostalgia. Dibawah bimbingan DEVI MULYANI, kami memproduksi berbagai MAKANAN RINGAN yang tidak hanya enak, tetapi juga terbuat dari bahan-bahan berkualitas tinggi. Setiap produk kami adalah perwujudan dari kecintaan terhadap kuliner dan dedikasi untuk memuaskan pelanggan.",FnB,Hybrid B2B and B2C,1,"8,000,000",-,0882-7434-9240
Tutik Catering,https://drive.pastibisa.app/1706023497_65afda4925a44.png,JAWA TENGAH,"Ngemplak, RT.01/RW.05, Ngemplak, Alastuwo, Kec. Kebakkramat, Kabupaten Karanganyar, Jawa Tengah 57762","Awaliyah Hastuti, dengan pengalamannya yang luas di dunia kuliner, menghadirkan Tutik Catering, tempat dimana rasa klasik Kue Apang bertemu dengan inovasi dan kreativitas. Kami berkomitmen untuk menyediakan pilihan kue yang sehat dan lezat, yang sempurna untuk segala jenis acara.",FnB,Hybrid B2B and B2C,2,"4,000,000",-,0895-6086-84060
SETIA MUSLIM,https://drive.pastibisa.app/1706023543_65afda77e5897.png,JAWA BARAT,"Dusun pahing, RT./ RW/RW.004/002, Setianegara, Kec. Cilimus, Kabupaten Kuningan, Jawa Barat 45556","SETIA MUSLIM, dipimpin oleh WAOLAH, adalah merek terkemuka yang spesialis dalam menghadirkan ANEKA KERIPIK dengan cita rasa yang khas dan autentik. Produk kami, yang dibuat dengan cinta dan dedikasi, menawarkan sensasi rasa yang unik.",Food Processing,B2C,3,"10,000,000",-,0821-2683-3340
SIMEUT GORENG MIRASA,https://drive.pastibisa.app/1706023583_65afda9f29345.png,JAWA BARAT,"Ciborelang, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat","NUNIK NURZANAH, pelopor SIMEUT GORENG MIRASA, menghadirkan SIMEUT GORENG yang dibuat dari bahan-bahan pilihan dan dengan resep warisan untuk menghadirkan kebahagiaan dalam setiap gigitan.",Food Processing,B2C,2,"10,000,000",-,0813-2497-7786
CARAMUJAYA,https://drive.pastibisa.app/1706023612_65afdabca4aa8.png,JAWA BARAT,"Jl. Raya Cangkingan-Kedokan, Cangkingan, Kec. Kedokan Bunder, Kabupaten Indramayu, Jawa Barat 45283","CARAMUJAYA, CARTINIH menggabungkan tradisi dengan inovasi untuk menciptakan MIMIDE NASTAR MANGGA. Setiap nastar kami dibuat dengan hati menjamin akan membawa Anda pada perjalanan rasa yang tak terlupakan.",Food Processing,B2C,1,"6,000,000",-,0878-6372-0775
3Lovely,https://drive.pastibisa.app/1706023665_65afdaf132832.png,MALUKU UTARA,"Jl. Sultan Mansur No.kel, Tuguwaji, Tidore, Kota Tidore Kepulauan, Maluku Utara 97813","3Lovely adalah sebuah perusahaan yang spesialis dalam pembuatan roti dan kue basah. Dengan resep tradisional dan inovasi rasa terbaru, 3Lovely menawarkan kelezatan yang memikat setiap pelanggan",FnB,B2B,1,"8,000,000",-,0812-4122-6118
DR Frozen,https://drive.pastibisa.app/1706023702_65afdb1633fcc.png,SUMATERA UTARA,"Gg Jl. Bahapal, Dolok Maraja, Kec. Dolok Batu Nanggar, Kabupaten Simalungun, Sumatera Utara 21154","DR Frozen menyediakan beragam pilihan frozen food yang praktis dan bergizi. Produk kami, yang diproses secara higienis dan dikemas dengan rapi, adalah solusi sempurna untuk makanan sehat dan cepat saji bagi keluarga Anda.",FnB,Hybrid B2B and B2C,2,"8,000,000",-,0852-7076-8128
MOZA GALLERY,https://drive.pastibisa.app/1706023729_65afdb31c316b.png,JAMBI,"Jl. Sersan Anwar Bay, RT.01/RW.no. 02, Bagan Pete, Kec. Kota Baru, Kota Jambi, Jambi 36361","MOZA GALLERY menawarkan jasa jahit yang berkualitas dengan pilihan bahan dan desain yang beragam. Setiap karya kami adalah gabungan dari keahlian, estetika, dan ketelitian, cocok bagi Anda yang menginginkan pakaian yang unik dan personal.",Fashion,B2C,3,"9,500,000",-,0812-7895-5345
UKM Yasmin,https://drive.pastibisa.app/1706023759_65afdb4f2f977.png,SULAWESI SELATAN,"Dusun Mannyioi, Tamanyeleng, Barombong, Gowa Regency, 90225",UKM Yasmin spesialis dalam produksi kerupuk bawang dan kerupuk ikan yang renyah dan kaya rasa. Setiap kerupuk kami buat dengan resep khas dan kualitas bahan yang terjaga untuk menjamin kepuasan pelanggan.,FnB,B2C,4,"2,000,000",-,rosdiana122024@gmail.com
Koperasi Semedo Manise Sejahtera,https://drive.pastibisa.app/1706023799_65afdb778ee05.png,JAWA TENGAH,"Jl. Raya Sawangan - Semedo, RT.04/RW.04, Karang Pucung, Semedo, Kec. Pekuncen, Kabupaten Banyumas, Jawa Tengah 53164",Koperasi Semedo Manise Sejahtera adalah produsen gula pilihan yang menjamin keaslian dan kualitas produk. Kami berkomitmen untuk memberikan manis yang sehat dan alami bagi keluarga Indonesia.,Food Processing,Hybrid B2B and B2C,12,"1,500,000",-,0811-2891-055
Rumah Brudel Ummu Azzam,https://drive.pastibisa.app/1706023901_65afdbddea468.png,GORONTALO,"Jl. Anggrek Tamara No.11, Pulubala, Kec. Kota Tengah, Kabupaten Gorontalo, Gorontalo 96127","Rumah Brudel Ummu Azzam menghadirkan Brudel Cake, kue yang lembut dan kaya rasa. Setiap kue kami buat dengan resep asli dan bahan-bahan pilihan untuk memberikan pengalaman rasa yang tak terlupakan.",FnB,Hybrid B2B and B2C,8,"10,000,000",-,0853-4030-3718
keripik nada,https://drive.pastibisa.app/1706023862_65afdbb678ac6.png,KALIMANTAN BARAT,"Jl. Adi Sucipto Gg. H. Ramli No.10, Sungai Raya, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat 78391","Keripik Nada menyajikan keripik pisang yang renyah dan penuh rasa. Dibuat dari pisang pilihan dan bumbu berkualitas, keripik kami siap memanjakan lidah Anda kapan saja.",FnB,B2C,2,"9,500,000",-,0898-8675-335
house of kacifa,https://drive.pastibisa.app/1706023979_65afdc2b63785.png,KALIMANTAN BARAT,"Sul Ambawang Kuala jl. Parit Masigi 1 komp. Hafif Permai B34, Sul Ambawang Kuala, Sungai Ambawang, Kubu Raya Regency, 78241","House of Kacifa menawarkan produk cair yang inovatif dan berkualitas. Dengan komitmen pada kualitas dan keaslian, kami menjamin produk yang aman dan memuaskan bagi pelanggan.",Herbs,Hybrid B2B and B2C,2,"4,500,000",-,0812-5366-1616
Jus Kurma Sya,https://drive.pastibisa.app/1706024020_65afdc545e1fc.png,KALIMANTAN BARAT,"Jl. Prof. Dr. M. Yamin, Gg. Swakarya 2 No. 32, Pontianak Selatan, Pontianak",Jus Kurma Sya menawarkan minuman sehat yang terbuat dari kurma berkualitas. Kami percaya dalam memberikan nutrisi alami dan kebaikan kurma melalui setiap teguk jus kami.,FnB,B2C,1,"9,900,000",-,0898-1398-789
Dlayla kitchen,https://drive.pastibisa.app/1706024058_65afdc7a31cf7.png,KALIMANTAN BARAT,"Kompleks, Parit haji husein 2, Pemda Jalur 1 No.8, Bansir Darat, Kec. Pontianak Tenggara, Kota Pontianak, Kalimantan Barat 78124","Dlayla Kitchen milik Aulia Melinda terkenal akan puding kue lapisnya yang lezat. Dengan resep unik dan bahan pilihan, setiap gigitan menyajikan kenikmatan tiada tara.",FnB,B2C,2,"9,950,000",-,0896-7777-7013
Cemilan uti,https://drive.pastibisa.app/1706024133_65afdcc53a300.png,KALIMANTAN BARAT,"Jl. Komyos Sudarso, Gg. Mangga 1 Kelurahan No.22A, Sungai Jawi Luar, Kec. Pontianak Bar., Kota Pontianak, Kalimantan Barat 78113","Siti Rezeki Saputri dari Cemilan Uti menawarkan berbagai jenis makanan yang tidak hanya menggugah selera namun juga menyehatkan, menggabungkan tradisi dan inovasi dalam setiap sajian.",FnB,Hybrid B2B and B2C,1,"1,980,000",-,0822-5133-3276
Dapur Anggrek,https://drive.pastibisa.app/1706024095_65afdc9fe3da1.png,KALIMANTAN TIMUR,"BlokC4/13B, Permai, Batu Ampar, Kota Balikpapan, Kalimantan Timur 76129","Dapur Anggrek, dibawah bimbingan Fitri, menjadi destinasi pencinta Pempek Palembang. Setiap sajian dibuat dengan dedikasi dan bahan berkualitas tinggi, menciptakan cita rasa autentik.",FnB,B2C,2,"10,000,000",-,0857-5499-1197
Griya Godong,https://drive.pastibisa.app/1706024231_65afdd27a41c1.png,KALIMANTAN TIMUR,"Jl. Prapatan, RT.25/RW.No.67, Prapatan, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76111","Imelda Tecia Sri Puji Larasati dari Griya Godong menyediakan sepatu dan kain dengan desain yang unik dan elegan, menonjolkan kreativitas dan kualitas.",Fashion,B2C,5,"6,000,000",-,0821-5156-6790
Ngudi Lestari,https://drive.pastibisa.app/1706024258_65afdd4252a0a.png,YOGYAKARTA,"Pasar Bantul Los Seksi II/ 445, JL Jend. Sudirman, Kurahan, Nyangkringan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711","Ngudi Lestari milik Tumini terkenal dengan Sale Pisangnya. Makanan tradisional ini disajikan dengan cara yang inovatif dan higienis, menggugah selera setiap pelanggan.",FnB,Hybrid B2B and B2C,2,"2,400,000",-,(0274) 368047
Bosas Cake Bakery Catering,https://drive.pastibisa.app/1706024287_65afdd5f0abde.png,GORONTALO,"Pulubala, Kota Tengah, Gorontalo Regency, Gorontalo 96138","Bosas Cake Bakery Catering oleh Samsuriana Saleh menawarkan Pie Susu yang lezat. Dibuat dari bahan-bahan pilihan, setiap kudapan menjanjikan kepuasan bagi pelanggan.",FnB,B2C,5,"10,000,000",-,0822-4545-9892
Kitihan,https://drive.pastibisa.app/1706024344_65afdd985bbd6.png,KALIMANTAN SELATAN,"Jl. Belda Gg. Emas Urai No.8 RT.25, Banjarmasin","Kitihan, dipimpin oleh Rahmadania, menyediakan Garam Rujak berkualitas. Dengan pemilihan bahan yang teliti, Kitihan menghadirkan rasa yang khas dan memanjakan lidah.",Food Processing,Hybrid B2B and B2C,2,"8,000,000",-,0852-5115-9286
Warung Azizah,https://drive.pastibisa.app/1706024373_65afddb520dfc.png,KALIMANTAN SELATAN,"Jl. Veteran, Sungai Lulut, Kec. Banjarmasin Tim., Kota Banjarmasin, Kalimantan Selatan 70653","Warung Azizah di bawah kepemimpinan Rabiatul Adawiyah menjadi tempat yang tepat untuk menikmati beragam Makanan dan Minuman yang mengesankan, di mana kualitas dan keaslian menjadi prioritas.",FnB,B2C,2,"10,000,000",-,0857-5151-7757
Rumah Jahit Tiwi,https://drive.pastibisa.app/1706024408_65afddd8417a9.png,RIAU,"Kec.kemuning, Keritang, air bilu, Pekanbaru, Riau 29276","Rumah Jahit Tiwi, yang dikelola oleh Reni Novita, fokus pada pembuatan pakaian dan produk tekstil dengan layanan Spesifik/Job Order. Setiap karya dijahit dengan kecintaan dan ketelitian, menjamin kepuasan setiap pelanggan.",Fashion,B2C,4,"8,000,000",-,0822-8402-8974
Amaopi,https://drive.pastibisa.app/1706024439_65afddf75efec.png,JAWA TIMUR,"Jl. Raya Wonorejo No.25, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296","Amaopi milik Acik Yuli T. merupakan perusahaan yang menonjol dalam industri aksesoris, menawarkan produk-produk berkualitas tinggi yang dirancang untuk melengkapi setiap penampilan dengan sentuhan elegan dan gaya.",Fashion,B2C,3,"10,000,000",-,0815-1510-0903
UKM DAHLIA 3,https://drive.pastibisa.app/1706024481_65afde213d9ae.png,JAWA TIMUR,"Jl. Jemur Wonosari Gg. Lebar No.24, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237","UKM DAHLIA 3, dibawah kepemimpinan RONALDINE PIETERSZ, berfokus pada penciptaan makanan yang lezat dan autentik, menawarkan pengalaman rasa yang memuaskan dan menggugah selera.",FnB,B2C,3,"3,000,000",-,0897-3145-197
Pisang Keju Raja Menoreh,https://drive.pastibisa.app/1706024513_65afde41eb361.png,YOGYAKARTA,"Jl. Nanggulan Mendut, kedondong, Banjararum, Kec. Kalibawang, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55672","Pisang Keju Raja Menoreh yang dijalankan oleh Iwan Rahmanto, dikenal dengan produk pisang kejunya yang unik, menggabungkan cita rasa tradisional dengan sentuhan modern yang mengundang selera.",FnB,B2C,2,"7,000,000",-,0822-5319-5188
Peyek Berkah Alam,https://drive.pastibisa.app/1706024546_65afde62873a7.png,YOGYAKARTA,"Jl. Sonosewu Baru No.470a, Sanggrahan, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184","Peyek Berkah Alam oleh Theresia Sulastri, mengkhususkan diri dalam produksi peyek berkualitas tinggi, menghadirkan kerenyahan dan rasa yang tak tertandingi sebagai cemilan favorit keluarga.",FnB,Hybrid B2B and B2C,2,"9,000,000",-,peyekberkahalamofficial@gmail.com
Azkiya Coklat,https://drive.pastibisa.app/1706024571_65afde7bb9f40.png,YOGYAKARTA,"Ngaliyan, Ngargosari, Samigaluh, Kulon Progo Regency, Special Region of Yogyakarta 55673","Azkiya Coklat, dipimpin oleh Mungawiyah, terkenal dengan coklat karakternya yang unik dan inovatif, menghadirkan kebahagiaan dalam setiap gigitan.",FnB,Hybrid B2B and B2C,1,"10,000,000",-,0838-2923-7637
Kedai Oo,https://drive.pastibisa.app/1706024603_65afde9b86a75.png,YOGYAKARTA,"Perumahan Ngori Indah D13, Ngaglik, Yogyakarta","Kedai Oo oleh Ardita Kusuma Dewi Putri, menawarkan dimsum yang lezat, dibuat dengan bahan-bahan segar dan teknik memasak tradisional, memberikan rasa autentik yang memuaskan.",FnB,B2C,14,"7,500,000",-,0813-2756-6630
Ledeviar,https://drive.pastibisa.app/1706024632_65afdeb827443.png,JAWA TIMUR,"Jl. Jojoran Baru III No.30, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285","Ledeviar, di bawah arahan Hardiansyah Widjaja, memproduksi gelang dan kalung yang elegan dan bergaya, sempurna untuk setiap kesempatan dan cocok sebagai hadiah istimewa.",Fashion,Hybrid B2B and B2C,2,"10,000,000",-,0895-0347-7887
Nevo Collection,https://drive.pastibisa.app/1706024665_65afded9290b7.png,JAWA TIMUR,"Jalan Kalianyar Ponten No.21, Bongkaran, Kec. Pabean Cantikan, Surabaya, Jawa Timur 60161","Nevo Collection oleh Jajoek Nevo, menonjol dalam industri souvenir dengan produk-produk yang unik dan mengesankan, sempurna sebagai kenang-kenangan atau hadiah spesial.",Production,B2C,2,"10,000,000",-,0821-3138-5885
Berkah Chiken,https://drive.pastibisa.app/1706024692_65afdef442d4c.png,YOGYAKARTA,"Jl. Kusumanegara, Semaki, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166","Berkah Chiken milik Margareta Rudastiningsih, menghadirkan ayam berkualitas tinggi, diproses dengan standar tinggi untuk memastikan kelezatan dan keamanan.",FnB,Hybrid B2B and B2C,1,"2,800,000",-,0895-4221-81584
Dhara Djati,https://drive.pastibisa.app/1706024717_65afdf0de56c0.png,YOGYAKARTA,"Ploso, Bunder, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862","Dhara Djati, yang dijalankan oleh Dian Tri Setyawati, spesialis dalam kain batik ecoprint, menggabungkan tradisi batik dengan teknik modern untuk menciptakan karya seni yang indah dan berkelanjutan.",Fashion,Hybrid B2B and B2C,3,"2,400,000",-,0877-3900-2576
KSA (Kerajinan Sekar Alam),https://drive.pastibisa.app/1706024741_65afdf25caf76.png,YOGYAKARTA,"Munggur, Semin, Gunung Kidul Regency, Special Region of Yogyakarta 55854","KSA, dipimpin oleh Parinem, menghadirkan keindahan alam melalui produk kerajinan rotan kayu yang unik. Setiap karya di KSA menggabungkan estetika tradisional dengan sentuhan modern, menciptakan karya seni yang tidak hanya memikat secara visual tetapi juga berfungsi dan tahan lama.",Production,Hybrid B2B and B2C,4,"3,000,000",-,0858-6534-7099
Seven and only,https://drive.pastibisa.app/1706024769_65afdf4161194.png,YOGYAKARTA,"Kepil, Bandung, Kec. Playen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55861","Di bawah kepemimpinan Septi Yuliana, Seven and Only memproduksi tas dengan desain yang elegan dan praktis. Setiap tas dibuat dengan perhatian terhadap detail, menjamin kualitas dan keindahan yang sesuai dengan gaya hidup modern.",Fashion,Hybrid B2B and B2C,2,"3,000,000",-,0812-8614-1304
Melati Sneck,https://drive.pastibisa.app/1706024793_65afdf5975cce.png,YOGYAKARTA,"Jl. Jangkang, Area Sawah, Widodomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584","Marsini, dengan Melati Sneck, menghidangkan ragam snack tradisional seperti klepon, semar mendem, dan jadah. Produk-produknya menawarkan sensasi rasa autentik yang menggugah kenangan dan kehangatan dalam setiap gigitan.",FnB,B2C,2,"5,000,000",-,snackmelatimarsini@gmail.com
Primeline,https://drive.pastibisa.app/1706024826_65afdf7a9e7c5.png,YOGYAKARTA,"Jl. N. Mawar, Cupuwatu I, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Primeline, di bawah arahan TH Prima Mulya Nuraeni, menawarkan batik yang menggabungkan keindahan seni tradisional dengan kecanggihan teknik modern. Setiap kain batik adalah perwujudan dari warisan budaya yang kaya dan penghargaan terhadap kerajinan tangan yang halus.",Fashion,Hybrid B2B and B2C,2,"5,000,000",-,0817-726-416
Lia Zydny Art,https://drive.pastibisa.app/1706024849_65afdf919a03f.png,JAWA TIMUR,"Jl. Bhayangkari kel No.196, RT.05/RW.02, Gondang Selatan, Juwetkenongo, Kec. Porong, Kabupaten Sidoarjo, Jawa Timur 61274","Lia Zydny Art, didirikan oleh Isliawati, merupakan pusat kerajinan sulam pita yang menggabungkan keterampilan tradisional dengan estetika kontemporer. Setiap karya adalah ekspresi dari keindahan, kehalusan, dan dedikasi.",Production,B2C,9,"8,000,000",-,0821-3989-7388
Hana Bakery,https://drive.pastibisa.app/1706024876_65afdfacd5838.png,YOGYAKARTA,YOGYAKARTA,"Hana Bakery, yang didirikan oleh Hana Mufida, menyajikan berbagai jenis kue tart yang lezat dan menarik. Dengan perpaduan bahan berkualitas dan keterampilan pembuatan kue yang luar biasa, Hana Bakery berhasil menghadirkan kebahagiaan dalam setiap kudapan.",FnB,B2C,4,"5,000,000",-,0877-3139-5152
Pawon Remen,https://drive.pastibisa.app/1706024916_65afdfd45f25c.png,YOGYAKARTA,"Gg. Ledok Tukangan 2, Tegal Panggung, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55212","Pawon Remen, di bawah bimbingan Mujiarti, menawarkan pilihan snack yang lezat dan beraneka ragam. Setiap produk dibuat dengan penuh cinta dan perhatian, memastikan bahwa setiap gigitan memberikan kepuasan maksimal.",FnB,B2C,4,"6,400,000",-,0819-1898-8489
MyTR Ecoprint,https://drive.pastibisa.app/1706024946_65afdff2914fc.png,YOGYAKARTA,"Jln Am Sangaji Blunyahrejo TR 2/1019 A, Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55241","MyTR Ecoprint, dipelopori oleh Panca Irawati, menghadirkan kain ecoprint yang berkelanjutan dan ramah lingkungan. Dengan teknik pewarnaan alami dan desain yang inovatif, MyTR Ecoprint menggabungkan mode dengan tanggung jawab sosial dan lingkungan.",Textile,B2C,7,"5,000,000",-,0877-3819-5226
